Sample_ID,USCS_Label,Fines_Passing_0.075mm_pct,Passing_4.75mm_pct,D10_mm,D30_mm,D60_mm,Cu,Cc,Liquid_Limit_LL,Plastic_Limit_PL,Plasticity_Index_PI,Dataset_Split
SOIL_001,GP,4.447361106,29.57205088,1.110429835,3.358176563,2.788736434,2.511402653,3.641736006,36.81769639,19.77351937,17.04417702,Train
SOIL_002,ML,80.97266769,85.86974621,0.039182899,0.209997573,0.601562022,15.35266757,1.870904321,40.96787766,36.32519987,4.642677796,Train
SOIL_003,CH,75.28107352,71.5221431,0.014509325,0.041322224,0.173657571,11.96868701,0.677682756,58.93274388,28.66063761,30.27210628,Train
SOIL_004,GM,17.22171485,37.84472563,0.401983263,0.857656389,0.720279633,1.791814979,2.540490345,38.27659165,28.22664324,10.04994841,Train
SOIL_005,CH,64.62759168,95.08750177,0.027839203,0.068078129,0.251543006,9.035567893,0.661829598,56.60448372,28.68206443,27.92241929,Test
SOIL_006,SP,3.477449791,95.61390153,0.392877861,0.919679368,1.353758304,3.445748505,1.590282197,34.95671794,28.52397057,6.432747371,Train
SOIL_007,GW,2.753509498,46.6600708,0.978972931,4.209350441,11.01674657,11.25337199,1.642881067,38.00788201,22.27888008,15.72900193,Train
SOIL_008,GW,3.303363558,16.50833404,0.610205562,2.523486459,5.002664993,8.198327422,2.08604837,26.34484639,22.10209097,4.242755422,Test
SOIL_009,SP,0.722602951,60.81724645,0.107070279,0.172432531,0.524706476,4.900580085,0.529240471,36.91090996,27.5286889,9.382221061,Test
SOIL_010,CH,65.71763511,78.05532676,0.01544487,0.040366751,0.10342654,6.696498073,1.020073231,78.57074651,38.29813322,40.27261329,Train
SOIL_011,SW,1.997617045,63.42888804,0.310919262,1.983360798,4.572621281,14.70678033,2.766881688,26.81687112,17.43172935,9.385141777,Train
SOIL_012,SP,2.521707698,52.52574873,0.487370587,1.810804412,2.024684758,4.154302312,3.322969525,24.24232104,21.3936905,2.848630543,Train
SOIL_013,GP,2.24093883,21.09234245,1.598326918,6.482534688,5.875802721,3.676220837,4.474627414,33.15305045,18.09368266,15.05936779,Test
SOIL_014,CL,97.05635921,90.53736493,0.018599046,0.06605637,0.124951961,6.718191888,1.877567909,33.51859586,17.84431592,15.67427994,Train
SOIL_015,SM,13.58194708,81.14692012,0.377877353,0.804066109,1.695934834,4.488056301,1.008842778,39.84515805,36.06412625,3.781031797,Train
